,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
46866,None,294.08,0.0,0.0,90,Rain,light rain,8/20/2018 10:00,4375,high
33265,None,276.28,0.0,0.0,90,Snow,sleet,5/1/2017 15:00,5258,high
19563,None,286.43,0.0,0.0,75,Clouds,broken clouds,11/18/2015 8:00,5944,very high
26807,None,291.33,0.0,0.0,100,Clouds,overcast clouds,9/22/2016 15:00,5470,high
24843,None,297.67,0.0,0.0,90,Clouds,overcast clouds,7/10/2016 13:00,3903,medium
32775,None,283.09,0.0,0.0,90,Clouds,overcast clouds,4/17/2017 3:00,333,very low
21118,None,274.07,0.0,0.0,75,Clouds,broken clouds,2/7/2016 5:00,516,very low
24495,None,292.41,0.0,0.0,20,Clouds,few clouds,6/27/2016 10:00,3984,medium
41293,None,257.33,0.0,0.0,5,Clear,sky is clear,2/6/2018 12:00,4741,high
46473,None,292.22,0.0,0.0,1,Mist,mist,8/6/2018 4:00,890,very low
15316,None,292.08,0.0,0.0,1,Rain,light rain,7/7/2014 22:00,1771,low
41832,None,269.82,0.0,0.0,90,Snow,light snow,2/25/2018 0:00,779,very low
16397,None,295.14,0.0,0.0,40,Clouds,scattered clouds,7/8/2015 16:00,6234,very high
11315,None,255.34,0.0,0.0,1,Clear,sky is clear,1/8/2014 17:00,5932,very high
29581,None,270.87,0.0,0.0,1,Clear,sky is clear,12/29/2016 3:00,435,very low
11656,None,257.29,0.0,0.0,64,Snow,light snow,1/21/2014 23:00,845,very low
26642,None,290.62,1.86,0.0,75,Thunderstorm,proximity thunderstorm with rain,9/15/2016 19:00,3020,medium
33028,None,288.54,0.0,0.0,90,Rain,proximity shower rain,4/25/2017 15:00,5648,high
1408,None,279.39,0.0,0.0,75,Clouds,broken clouds,11/23/2012 14:00,4231,medium
2175,None,268.26,0.0,0.0,90,Haze,haze,12/18/2012 21:00,2549,low
14919,None,292.75,0.26,0.0,75,Rain,light rain,6/5/2014 17:00,6411,very high
14366,None,277.37,0.0,0.0,0,Clear,Sky is Clear,5/16/2014 6:00,5577,high
29962,None,258.59,0.0,0.0,90,Snow,light snow,1/11/2017 10:00,3471,medium
22941,None,285.28,0.0,0.0,90,Clouds,overcast clouds,4/30/2016 19:00,3710,medium
36481,None,294.01,0.0,0.0,75,Clouds,broken clouds,8/21/2017 10:00,4298,medium
5850,None,285.39,0.0,0.0,1,Clear,sky is clear,5/8/2013 3:00,373,very low
34929,None,294.96,0.0,0.0,40,Clouds,scattered clouds,6/28/2017 22:00,2240,low
10176,None,268.28,0.0,0.0,64,Clouds,broken clouds,11/27/2013 19:00,3347,medium
17020,None,288.99,0.0,0.0,1,Clear,sky is clear,8/1/2015 6:00,1427,very low
31662,None,267.03,0.0,0.0,90,Clouds,overcast clouds,3/11/2017 15:00,5611,high
15496,None,289.35,0.0,0.0,44,Clouds,scattered clouds,7/14/2014 10:00,4546,high
2801,None,268.38,0.0,0.0,20,Clouds,few clouds,1/10/2013 19:00,2857,low
33781,None,283.61,0.0,0.0,75,Rain,light rain,5/18/2017 13:00,4904,high
10967,None,263.92,0.0,0.0,64,Clouds,broken clouds,12/25/2013 19:00,2713,low
45921,None,294.69,0.0,0.0,1,Clear,sky is clear,7/17/2018 10:00,4346,medium
24484,None,295.9,0.0,0.0,1,Clear,sky is clear,6/26/2016 23:00,1483,low
11724,None,272.39,0.0,0.0,64,Clouds,broken clouds,1/24/2014 15:00,5903,very high
32616,None,282.09,0.0,0.0,90,Mist,mist,4/12/2017 21:00,2390,low
45698,None,298.3,0.0,0.0,5,Haze,haze,7/9/2018 22:00,2071,low
29520,None,266.89,0.0,0.0,90,Snow,light shower snow,12/26/2016 14:00,3921,medium
13686,None,275.26,0.0,0.0,90,Clouds,overcast clouds,4/15/2014 19:00,3394,medium
22424,None,280.16,0.0,0.0,90,Drizzle,light intensity drizzle,4/13/2016 3:00,418,very low
38239,None,281.68,0.0,0.0,1,Clear,sky is clear,10/22/2017 9:00,3159,medium
45282,None,297.35,0.0,0.0,75,Drizzle,drizzle,6/24/2018 13:00,4235,medium
40034,None,264.22,0.0,0.0,75,Clouds,broken clouds,12/24/2017 4:00,303,very low
46147,None,290.49,0.0,0.0,1,Clear,sky is clear,7/25/2018 5:00,3121,medium
22054,None,278.6,0.0,0.0,90,Rain,light rain,3/26/2016 21:00,2710,low
20270,None,267.06,0.0,0.51,90,Snow,snow,12/28/2015 23:00,888,very low
23893,None,288.67,0.0,0.0,40,Clouds,scattered clouds,6/3/2016 4:00,933,very low
35888,None,291.22,0.0,0.0,75,Rain,light rain,8/3/2017 2:00,322,very low
3306,None,255.98,0.0,0.0,77,Clouds,broken clouds,2/2/2013 17:00,4471,high
42855,None,272.29,0.0,0.0,90,Snow,snow,4/2/2018 17:00,5301,high
7116,None,295.46,0.0,0.0,92,Clouds,overcast clouds,6/21/2013 0:00,878,very low
37135,None,302.15,0.0,0.0,75,Clouds,broken clouds,9/13/2017 17:00,6344,very high
44155,None,292.16,0.0,0.0,1,Clear,sky is clear,5/17/2018 1:00,495,very low
35289,None,296.35,0.0,0.0,75,Clouds,broken clouds,7/12/2017 20:00,3319,medium
47079,None,291.8,1.78,0.0,90,Mist,mist,8/26/2018 5:00,551,very low
44574,None,300.72,0.0,0.0,75,Clouds,broken clouds,5/31/2018 15:00,5950,very high
29193,None,261.65,0.0,0.0,90,Snow,snow,12/16/2016 18:00,2344,low
33282,None,276.89,0.0,0.0,90,Drizzle,drizzle,5/1/2017 22:00,2049,low
12453,None,256.15,0.0,0.0,1,Clear,sky is clear,2/23/2014 6:00,768,very low
5720,None,279.52,0.0,0.0,1,Clear,sky is clear,5/3/2013 19:00,3657,medium
28088,None,273.46,0.0,0.0,1,Mist,mist,11/15/2016 3:00,323,very low
420,None,280.44,0.0,0.0,90,Clouds,overcast clouds,10/19/2012 11:00,4282,medium
19176,None,281.43,0.0,0.0,90,Rain,moderate rain,10/28/2015 1:00,339,very low
36476,None,290.86,0.0,0.0,1,Clear,sky is clear,8/21/2017 6:00,5454,high
28377,None,274.15,0.0,0.0,90,Drizzle,light intensity drizzle,11/23/2016 9:00,4056,medium
35521,None,298.87,0.0,0.0,1,Clear,sky is clear,7/20/2017 12:00,4917,high
13263,None,267.96,0.0,0.0,1,Clear,sky is clear,3/29/2014 3:00,386,very low
25832,None,294.05,1.27,0.0,24,Rain,moderate rain,8/18/2016 22:00,1877,low
31626,None,260.22,0.0,0.0,1,Clear,sky is clear,3/10/2017 3:00,345,very low
46674,None,293.93,0.0,0.0,1,Clear,sky is clear,8/13/2018 6:00,5546,high
23573,None,293.29,0.51,0.0,90,Thunderstorm,proximity thunderstorm,5/23/2016 20:00,2482,low
29076,None,258.08,0.0,0.0,40,Snow,light snow,12/12/2016 13:00,4559,high
641,None,279.54,0.0,0.0,90,Drizzle,light intensity drizzle,10/26/2012 3:00,380,very low
43361,None,273.84,0.0,0.0,90,Clouds,overcast clouds,4/16/2018 16:00,5788,high
32852,None,280.62,0.0,0.0,90,Mist,mist,4/19/2017 19:00,3189,medium
30453,None,273.15,0.0,0.0,90,Mist,mist,1/24/2017 6:00,5614,high
32701,None,286.71,0.0,0.0,90,Mist,mist,4/15/2017 3:00,409,very low
23787,None,286.21,0.0,0.0,1,Fog,fog,5/30/2016 3:00,309,very low
23684,None,290.82,0.76,0.0,90,Drizzle,drizzle,5/27/2016 12:00,5181,high
17707,None,285.58,0.0,0.0,90,Clouds,overcast clouds,8/25/2015 5:00,2953,medium
3303,None,254.46,0.0,0.0,56,Clouds,broken clouds,2/2/2013 14:00,4684,high
46082,None,299.88,0.0,0.0,40,Clouds,scattered clouds,7/22/2018 18:00,4098,medium
16734,None,289.77,0.0,0.0,1,Clear,sky is clear,7/21/2015 1:00,400,very low
13651,None,270.7,0.0,0.0,90,Clouds,overcast clouds,4/14/2014 8:00,6037,very high
37674,None,290.79,0.0,0.0,90,Thunderstorm,proximity thunderstorm,10/2/2017 23:00,867,very low
47384,None,294.28,0.25,0.0,90,Drizzle,light intensity drizzle,9/4/2018 5:00,2863,low
35698,None,295.08,0.0,0.0,90,Rain,light rain,7/26/2017 9:00,5034,high
19077,None,286.01,0.0,0.0,1,Clear,sky is clear,10/19/2015 6:00,5769,high
959,None,277.28,0.0,0.0,90,Mist,mist,11/7/2012 1:00,811,very low
38481,None,276.15,0.0,0.0,90,Clouds,overcast clouds,10/30/2017 5:00,2822,low
46952,None,298.35,0.0,0.0,90,Clouds,overcast clouds,8/23/2018 17:00,5780,high
12746,None,272.52,0.0,0.0,90,Clouds,overcast clouds,3/7/2014 13:00,5248,high
43633,None,281.49,0.0,0.0,75,Clouds,broken clouds,4/27/2018 21:00,3384,medium
10340,None,274.36,0.51,0.0,64,Fog,fog,12/3/2013 7:00,6020,very high
31394,None,271.95,0.0,0.0,90,Snow,light snow,3/1/2017 3:00,375,very low
12625,None,246.52,0.0,0.0,20,Clouds,few clouds,3/2/2014 7:00,1070,very low
42739,None,275.36,0.0,0.0,1,Snow,light snow,3/29/2018 15:00,6040,very high
36291,None,296.77,0.0,0.0,1,Clear,sky is clear,8/15/2017 18:00,4753,high
34375,None,295.28,0.0,0.0,5,Clear,sky is clear,6/9/2017 10:00,4764,high
28982,None,261.88,0.0,0.0,90,Snow,light snow,12/10/2016 16:00,4037,medium
15903,None,289.92,0.0,0.0,1,Mist,mist,8/5/2014 3:00,432,very low
6818,None,287.44,0.0,0.0,32,Clouds,scattered clouds,6/9/2013 8:00,1590,low
2366,None,263.69,0.0,0.0,90,Snow,heavy snow,12/25/2012 6:00,432,very low
41402,None,261.43,0.0,0.0,1,Clear,sky is clear,2/10/2018 14:00,5173,high
42559,None,270.16,0.0,0.0,1,Clear,sky is clear,3/23/2018 2:00,285,very low
5364,None,270.0,0.0,0.0,1,Clear,sky is clear,4/21/2013 9:00,2510,low
11224,None,262.29,0.0,0.0,64,Clouds,broken clouds,1/4/2014 16:00,4343,medium
46644,None,291.58,0.0,0.0,1,Fog,fog,8/12/2018 4:00,365,very low
17566,None,287.6,0.0,0.0,90,Rain,moderate rain,8/19/2015 21:00,2621,low
42592,None,277.08,0.0,0.0,1,Clear,sky is clear,3/24/2018 17:00,4787,high
40214,None,247.84,0.0,0.0,5,Clear,sky is clear,12/30/2017 7:00,1216,very low
43805,None,291.75,0.0,0.0,1,Clear,sky is clear,5/4/2018 10:00,4982,high
27283,None,279.83,0.0,0.0,56,Clouds,broken clouds,10/12/2016 12:00,4278,medium
25456,None,294.11,0.0,0.0,75,Fog,fog,8/3/2016 7:00,5897,very high
17841,None,298.57,0.0,0.0,1,Clear,sky is clear,8/30/2015 18:00,3944,medium
38354,None,275.15,0.0,0.0,90,Drizzle,light intensity drizzle,10/26/2017 22:00,3218,medium
32116,None,276.58,0.0,0.0,90,Clouds,overcast clouds,3/26/2017 23:00,993,very low
32686,None,286.88,0.0,0.0,90,Mist,mist,4/14/2017 22:00,4752,high
17495,None,291.2,0.51,0.0,90,Drizzle,light intensity drizzle,8/18/2015 16:00,6186,very high
41921,None,269.79,0.0,0.0,1,Clear,sky is clear,2/28/2018 2:00,294,very low
36399,None,293.29,0.0,0.0,1,Mist,mist,8/18/2017 14:00,5611,high
3738,None,261.95,0.0,0.0,90,Snow,heavy snow,2/19/2013 20:00,2731,low
20894,None,263.54,0.0,0.0,1,Clear,sky is clear,1/28/2016 23:00,1273,very low
26287,None,295.99,0.0,0.0,1,Clear,sky is clear,9/3/2016 18:00,3248,medium
13868,None,280.39,0.0,0.0,90,Clouds,overcast clouds,4/23/2014 9:00,5287,high
43382,None,275.99,0.0,0.0,5,Clear,sky is clear,4/17/2018 13:00,4913,high
13424,None,274.89,0.0,0.0,1,Clear,sky is clear,4/4/2014 21:00,2625,low
5152,None,273.36,0.0,0.0,90,Snow,heavy snow,4/15/2013 14:00,5222,high
9518,None,278.43,0.0,0.0,92,Clouds,overcast clouds,10/17/2013 9:00,5374,high
43625,None,289.58,0.0,0.0,40,Clouds,scattered clouds,4/27/2018 13:00,5487,high
10627,None,264.62,0.0,0.0,90,Clouds,overcast clouds,12/12/2013 18:00,4532,high
15599,None,298.07,0.0,0.0,40,Clouds,scattered clouds,7/18/2014 18:00,4883,high
8553,None,296.16,0.0,0.0,0,Clear,Sky is Clear,8/21/2013 1:00,399,very low
12089,None,256.49,0.0,0.0,1,Clear,sky is clear,2/8/2014 2:00,523,very low
4034,None,260.09,0.0,0.0,1,Clear,sky is clear,3/3/2013 8:00,1827,low
12413,None,262.43,0.0,0.0,40,Clouds,scattered clouds,2/21/2014 14:00,3179,medium
28964,None,261.78,0.0,0.0,40,Snow,light snow,12/9/2016 22:00,4459,high
7821,None,291.59,0.0,0.0,0,Rain,light rain,7/21/2013 3:00,451,very low
14332,None,284.9,0.0,0.0,8,Clear,sky is clear,5/14/2014 20:00,3231,medium
33924,None,280.02,0.0,0.0,1,Clear,sky is clear,5/22/2017 6:00,5783,high
36416,None,287.55,0.0,0.0,90,Mist,mist,8/19/2017 3:00,398,very low
8549,None,298.06,0.0,0.0,0,Clear,Sky is Clear,8/20/2013 21:00,2824,low
40065,None,255.75,0.0,0.0,90,Mist,mist,12/25/2017 7:00,942,very low
47569,None,286.68,0.0,0.0,1,Clear,sky is clear,9/10/2018 0:00,534,very low
26963,None,281.75,0.0,0.0,0,Clear,Sky is Clear,9/29/2016 3:00,359,very low
10693,None,255.15,0.0,0.0,90,Clouds,overcast clouds,12/15/2013 5:00,490,very low
6476,None,286.91,0.0,0.0,90,Mist,mist,5/28/2013 21:00,2404,low
20321,None,264.09,0.0,0.0,1,Clear,sky is clear,12/31/2015 3:00,358,very low
6023,None,295.0,0.0,0.0,1,Clear,sky is clear,5/14/2013 19:00,3748,medium
27402,None,289.64,0.0,0.0,100,Rain,heavy intensity rain,10/17/2016 17:00,5262,high
39576,None,262.35,0.0,0.0,1,Clear,sky is clear,12/7/2017 11:00,4774,high
26022,None,291.09,0.0,0.0,40,Clouds,scattered clouds,8/25/2016 20:00,3022,medium
45339,None,290.94,0.0,0.0,90,Rain,light rain,6/26/2018 8:00,5756,high
5359,None,268.21,0.0,0.0,1,Clear,sky is clear,4/21/2013 4:00,273,very low
949,None,278.84,0.0,0.0,90,Mist,mist,11/6/2012 21:00,2078,low
36912,None,284.93,0.0,0.0,1,Clear,sky is clear,9/5/2017 2:00,242,very low
30345,None,276.02,0.0,0.0,90,Mist,mist,1/21/2017 16:00,4402,high
2079,None,275.44,0.0,0.0,90,Drizzle,light intensity drizzle,12/16/2012 14:00,3547,medium
47076,None,291.22,1.02,0.0,1,Rain,moderate rain,8/26/2018 4:00,325,very low
12412,None,261.72,0.0,0.0,40,Clouds,scattered clouds,2/21/2014 13:00,2761,low
36634,None,289.36,0.0,0.0,90,Rain,moderate rain,8/26/2017 10:00,4138,medium
24354,None,300.49,0.0,0.0,0,Clear,Sky is Clear,6/21/2016 16:00,6455,very high
36194,None,293.35,0.0,0.0,75,Clouds,broken clouds,8/12/2017 21:00,3442,medium
39492,None,274.69,0.0,0.0,90,Mist,mist,12/4/2017 21:00,2150,low
35603,None,296.02,0.0,0.0,75,Clouds,broken clouds,7/23/2017 14:00,4245,medium
36331,None,294.22,0.0,0.0,90,Rain,moderate rain,8/16/2017 23:00,1368,very low
39637,None,268.08,0.0,0.0,75,Clouds,broken clouds,12/9/2017 22:00,3068,medium
20141,None,272.49,0.0,0.0,90,Mist,mist,12/22/2015 12:00,5349,high
22586,None,284.22,0.0,0.0,90,Clouds,overcast clouds,4/20/2016 1:00,381,very low
24534,None,287.27,0.0,0.0,1,Clear,sky is clear,6/29/2016 1:00,428,very low
20069,None,268.35,0.0,0.0,90,Snow,light snow,12/17/2015 17:00,6209,very high
43653,None,286.62,0.0,0.0,5,Clear,sky is clear,4/28/2018 17:00,4991,high
45320,None,295.22,0.0,0.0,1,Rain,light rain,6/26/2018 0:00,624,very low
26980,None,287.86,0.0,0.0,0,Clear,Sky is Clear,9/29/2016 19:00,3435,medium
6769,None,283.37,0.25,0.0,68,Rain,light rain,6/7/2013 9:00,5119,high
31492,None,275.21,0.0,0.0,1,Clear,sky is clear,3/4/2017 21:00,3532,medium
39239,None,273.55,0.0,0.0,5,Clear,sky is clear,11/25/2017 9:00,3054,medium
12060,None,255.54,0.0,0.0,75,Clouds,broken clouds,2/6/2014 21:00,3442,medium
13271,None,275.53,0.25,0.0,1,Rain,light rain,3/29/2014 11:00,4579,high
37464,None,288.0,0.0,0.0,90,Rain,moderate rain,9/25/2017 22:00,1460,low
34803,None,287.83,0.0,0.0,40,Thunderstorm,thunderstorm with light rain,6/24/2017 16:00,4358,medium
37038,None,289.72,0.0,0.0,75,Clouds,broken clouds,9/10/2017 5:00,513,very low
16179,None,288.1,0.0,0.0,1,Clear,sky is clear,7/1/2015 23:00,2820,low
18282,None,302.26,0.0,0.0,40,Clouds,scattered clouds,9/15/2015 17:00,6263,very high
18750,None,283.63,0.0,0.0,1,Clear,sky is clear,10/3/2015 11:00,5542,high
22645,None,286.22,0.0,0.0,90,Rain,moderate rain,4/21/2016 9:00,4648,high
24286,None,300.99,0.0,0.0,12,Clouds,few clouds,6/18/2016 20:00,3751,medium
28156,None,285.61,0.0,0.0,75,Clouds,broken clouds,11/17/2016 12:00,4849,high
23531,None,284.5,0.0,0.0,1,Haze,haze,5/22/2016 5:00,458,very low
23809,None,298.22,0.0,0.0,75,Clouds,broken clouds,5/30/2016 20:00,2946,medium
1034,None,282.49,0.0,0.0,1,Clear,sky is clear,11/9/2012 12:00,5487,high
19418,None,284.58,0.0,0.0,90,Thunderstorm,proximity thunderstorm,11/11/2015 14:00,5167,high
44845,None,292.0,0.0,0.0,90,Clouds,overcast clouds,6/10/2018 3:00,350,very low
24078,None,293.17,0.0,0.0,0,Clear,Sky is Clear,6/10/2016 4:00,839,very low
42402,None,276.35,0.0,0.0,1,Clear,sky is clear,3/17/2018 12:00,5798,high
11482,None,259.14,0.0,0.0,64,Clouds,broken clouds,1/15/2014 0:00,515,very low
31040,None,273.939,0.0,0.0,0,Clear,Sky is Clear,2/15/2017 15:00,5605,high
29595,None,271.55,0.0,0.0,75,Clouds,broken clouds,12/29/2016 17:00,5196,high
24352,None,299.88,0.0,0.0,0,Clear,Sky is Clear,6/21/2016 14:00,5571,high
36349,None,292.15,0.0,0.0,40,Drizzle,heavy intensity drizzle,8/17/2017 6:00,5457,high
20666,None,248.28,0.0,0.0,90,Haze,haze,1/17/2016 4:00,466,very low
47398,None,294.78,0.69,0.0,90,Mist,mist,9/4/2018 10:00,4403,high
42759,None,274.27,0.0,0.0,75,Snow,light snow,3/30/2018 11:00,5350,high
36593,None,293.29,0.0,0.0,75,Clouds,broken clouds,8/25/2017 14:00,5661,high
29098,None,255.71,0.0,0.0,1,Snow,light snow,12/13/2016 11:00,4643,high
14046,None,290.81,0.0,0.0,0,Clear,Sky is Clear,5/5/2014 15:00,5851,very high
28529,None,271.21,0.0,0.0,90,Snow,light snow,11/27/2016 7:00,1243,very low
8117,None,297.47,0.0,0.0,1,Clear,sky is clear,8/1/2013 18:00,4875,high
34405,None,307.02,0.0,0.0,75,Clouds,broken clouds,6/10/2017 16:00,4231,medium
18051,None,295.01,0.0,0.0,40,Clouds,scattered clouds,9/7/2015 10:00,3334,medium
42631,None,273.23,0.0,0.0,90,Snow,light snow,3/26/2018 6:00,5213,high
2294,None,259.74,0.0,0.0,1,Clear,sky is clear,12/22/2012 5:00,651,very low
11555,None,276.793,0.0,0.0,64,Clouds,broken clouds,1/17/2014 15:00,5564,high
42788,None,271.72,0.0,0.0,90,Snow,snow,3/31/2018 6:00,1045,very low
5598,None,289.51,0.0,0.0,1,Clear,sky is clear,4/29/2013 10:00,4378,high
22227,None,273.95,0.0,0.0,90,Snow,light snow,4/4/2016 12:00,4804,high
24467,None,291.62,0.0,0.0,40,Clouds,scattered clouds,6/26/2016 6:00,926,very low
37745,None,283.46,0.0,0.0,90,Rain,moderate rain,10/5/2017 8:00,4907,high
32904,None,281.97,0.0,0.0,75,Clouds,broken clouds,4/20/2017 18:00,4832,high
25054,None,297.888,0.0,0.0,0,Clear,Sky is Clear,7/19/2016 4:00,868,very low
2259,None,267.56,0.0,0.0,90,Snow,heavy snow,12/21/2012 4:00,739,very low
27801,None,290.88,0.0,0.0,1,Clear,sky is clear,11/3/2016 15:00,5604,high
36222,None,292.08,0.0,0.0,90,Rain,heavy intensity rain,8/13/2017 21:00,2368,low
47600,None,289.36,0.0,0.0,1,Clear,sky is clear,9/11/2018 7:00,6496,very high
43620,None,279.72,0.0,0.0,1,Clear,sky is clear,4/27/2018 8:00,6109,very high
903,None,275.67,0.0,0.0,75,Clouds,broken clouds,11/5/2012 1:00,1299,very low
4259,None,269.91,0.0,0.0,90,Clouds,overcast clouds,3/12/2013 10:00,4352,medium
12065,None,254.31,0.0,0.0,1,Clear,sky is clear,2/7/2014 2:00,308,very low
19445,None,278.89,0.0,0.0,90,Drizzle,drizzle,11/12/2015 6:00,5719,high
16339,None,293.22,4.57,0.0,90,Smoke,smoke,7/6/2015 15:00,5205,high
33762,None,283.09,0.0,0.0,90,Mist,mist,5/18/2017 4:00,836,very low
27465,None,282.512,0.0,0.0,0,Clear,Sky is Clear,10/20/2016 15:00,4793,high
16624,None,292.42,0.0,0.0,90,Drizzle,drizzle,7/16/2015 22:00,2187,low
45481,None,292.15,0.0,0.0,90,Fog,fog,7/1/2018 12:00,3696,medium
22272,None,274.28,0.0,0.0,1,Mist,mist,4/6/2016 8:00,6251,very high
40549,None,260.92,0.0,0.0,90,Snow,light snow,1/11/2018 12:00,3587,medium
34472,None,298.86,0.0,0.0,40,Clouds,scattered clouds,6/12/2017 12:00,4880,high
14819,None,293.74,0.42,0.0,24,Rain,light rain,6/1/2014 20:00,2766,low
40568,None,253.68,0.0,0.0,1,Clear,sky is clear,1/12/2018 2:00,272,very low
20442,None,272.56,0.0,0.0,90,Clouds,overcast clouds,1/6/2016 12:00,4699,high
10914,None,249.15,0.0,0.0,20,Haze,haze,12/24/2013 5:00,1342,very low
13818,None,288.0,0.34,0.0,75,Rain,light rain,4/21/2014 9:00,5075,high
6248,None,291.94,0.0,0.0,40,Clouds,scattered clouds,5/21/2013 10:00,4393,high
2314,None,259.69,0.0,0.0,1,Clear,sky is clear,12/23/2012 1:00,685,very low
2667,None,261.6,0.0,0.0,90,Snow,heavy snow,1/4/2013 10:00,4327,medium
23442,None,291.45,0.0,0.0,40,Clouds,scattered clouds,5/18/2016 12:00,4940,high
12711,None,263.02,0.0,0.0,75,Clouds,broken clouds,3/6/2014 2:00,249,very low
28090,None,273.46,0.0,0.0,1,Haze,haze,11/15/2016 3:00,323,very low
17509,None,290.49,0.51,0.0,90,Mist,mist,8/18/2015 21:00,2582,low
18973,None,281.43,0.0,0.0,90,Clouds,overcast clouds,10/12/2015 23:00,864,very low
45205,None,298.08,0.0,0.0,90,Clouds,overcast clouds,6/21/2018 17:00,5997,very high
539,None,285.51,0.0,0.0,90,Clouds,overcast clouds,10/24/2012 1:00,298,very low
44777,None,291.15,0.0,0.0,75,Rain,light rain,6/8/2018 6:00,5554,high
44718,None,291.73,0.0,0.0,1,Clear,sky is clear,6/6/2018 3:00,362,very low
4044,None,269.81,0.0,0.0,40,Clouds,scattered clouds,3/3/2013 18:00,3635,medium
34138,None,287.29,0.0,0.0,90,Rain,light rain,5/30/2017 16:00,6507,very high
18965,None,282.16,0.0,0.0,90,Rain,moderate rain,10/12/2015 17:00,5697,high
11944,None,255.48,0.0,0.0,0,Clear,sky is clear,2/2/2014 1:00,695,very low
15090,None,289.54,2.7,0.0,92,Rain,moderate rain,6/14/2014 14:00,4360,medium
9621,None,274.5,0.0,0.0,40,Clouds,scattered clouds,10/22/2013 9:00,5532,high
41729,None,270.92,0.0,0.0,90,Snow,light snow,2/22/2018 19:00,3048,medium
42734,None,270.01,0.0,0.0,20,Clouds,few clouds,3/29/2018 10:00,4579,high
13700,None,273.76,0.0,0.0,90,Clouds,overcast clouds,4/16/2014 9:00,5250,high
12028,None,257.02,0.0,0.0,90,Clouds,overcast clouds,2/5/2014 13:00,4679,high
17430,None,296.36,0.55,0.0,75,Thunderstorm,proximity thunderstorm with drizzle,8/16/2015 18:00,3793,medium
33811,None,285.42,0.0,0.0,90,Clouds,overcast clouds,5/19/2017 19:00,3957,medium
33914,None,280.75,0.0,0.0,90,Drizzle,drizzle,5/21/2017 22:00,1730,low
29078,None,259.59,0.0,0.0,90,Snow,light snow,12/12/2016 15:00,5338,high
22091,None,271.29,0.0,0.0,1,Mist,mist,3/28/2016 2:00,266,very low
32789,None,286.55,0.0,0.0,5,Clear,sky is clear,4/17/2017 17:00,6280,very high
31983,None,276.62,0.0,0.0,90,Drizzle,drizzle,3/23/2017 20:00,3021,medium
5287,None,273.39,0.0,0.0,90,Snow,heavy snow,4/19/2013 13:00,4871,high
17325,None,298.62,0.0,0.0,1,Clear,sky is clear,8/12/2015 20:00,3071,medium
45575,None,296.62,0.0,0.0,40,Clouds,scattered clouds,7/4/2018 22:00,2030,low
24441,None,295.45,0.0,0.0,20,Clouds,few clouds,6/25/2016 5:00,1009,very low
32725,None,287.95,0.0,0.0,90,Haze,haze,4/15/2017 9:00,3310,medium
673,None,275.01,0.0,0.0,90,Snow,heavy snow,10/26/2012 13:00,5874,very high
7945,None,289.88,0.0,0.0,0,Clear,Sky is Clear,7/26/2013 6:00,5818,high
20537,None,250.29,0.0,0.0,1,Clear,sky is clear,1/10/2016 4:00,273,very low
6815,None,285.62,0.0,0.0,36,Clouds,scattered clouds,6/9/2013 5:00,694,very low
6697,None,288.57,0.0,0.0,92,Rain,light rain,6/5/2013 17:00,6547,very high
17972,None,300.81,0.0,0.0,1,Clear,sky is clear,9/4/2015 20:00,3146,medium
46304,None,287.99,0.0,0.0,1,Mist,mist,7/31/2018 5:00,2764,low
4052,None,266.31,0.0,0.0,40,Clouds,scattered clouds,3/4/2013 2:00,256,very low
36899,None,287.84,0.0,0.0,75,Rain,proximity shower rain,9/4/2017 17:00,3883,medium
25262,None,301.42,0.0,0.0,40,Clouds,scattered clouds,7/26/2016 19:00,3060,medium
39625,None,265.92,0.0,0.0,90,Snow,light snow,12/9/2017 10:00,4433,high
40621,None,253.02,0.0,0.0,90,Clouds,overcast clouds,1/14/2018 7:00,1296,very low
35595,None,292.49,0.0,0.0,40,Clouds,scattered clouds,7/23/2017 6:00,845,very low
16638,None,293.25,0.0,0.0,90,Fog,fog,7/17/2015 8:00,5245,high
28239,None,271.78,0.0,0.0,75,Clouds,broken clouds,11/19/2016 15:00,4082,medium
44326,None,300.08,0.0,0.0,75,Clouds,broken clouds,5/23/2018 20:00,2993,medium
9241,None,287.56,0.89,0.0,92,Rain,light rain,10/3/2013 17:00,6529,very high
9637,None,278.48,0.0,0.0,90,Clouds,overcast clouds,10/24/2013 14:00,5741,high
45516,None,298.43,0.0,0.0,40,Rain,light rain,7/2/2018 22:00,2118,low
16512,None,291.75,0.3,0.0,1,Rain,light rain,7/13/2015 3:00,346,very low
8777,None,300.15,0.0,0.0,64,Clouds,broken clouds,9/4/2013 18:00,4824,high
23862,None,288.77,0.0,0.0,40,Clouds,scattered clouds,6/1/2016 21:00,2799,low
44422,None,289.95,0.0,0.0,1,Clear,sky is clear,5/27/2018 5:00,844,very low
22610,None,291.3,0.0,0.0,90,Rain,proximity shower rain,4/20/2016 18:00,4808,high
3396,None,269.34,0.0,0.0,20,Clouds,few clouds,2/6/2013 16:00,6393,very high
31872,None,281.35,0.0,0.0,75,Clouds,broken clouds,3/19/2017 14:00,4924,high
19642,None,280.08,0.0,0.0,40,Clouds,scattered clouds,11/23/2015 13:00,4768,high
